"","Year","cluster3","MetrPrice","House_Share","FoodKCaloriesHH_Per","SampleSize","Engle","FPLine","PovertyLine","PovertyHCR","PovertyGap","PovertyDepth"
"1",90,1,83483.0965608554,0.443609560192396,2287.62474677021,1089,0.165317613186018,470223.60359505,2893791.70547409,0.157131227009209,0.200668924783955,0.0761145817316945
"2",90,2,35727.640876617,0.313144463168382,2569.11359506775,1579,0.21916365344719,462903.873849398,2444466.09974327,0.240633747836637,0.167463301588827,0.0632201202236656
"3",90,3,25061.3638713744,0.251291546727633,2538.63241564292,4400,0.239266782544565,446816.378418887,2128356.73459917,0.260658560658926,0.189925476573745,0.081379093601781
"4",90,4,24330.8977394916,0.263057651676337,2860.7299882044,4797,0.256542274491646,429117.395776045,1874819.18271989,0.230831853627229,0.182722605598011,0.0681909783544311
"5",90,5,19538.4515696242,0.209513307341499,2937.45441151759,1987,0.260693862015016,428417.496765501,1956300.58547161,0.29975344159148,0.226001265171158,0.0938022799026671
"6",90,6,19742.6665853312,0.223749443074842,3034.81788824244,4156,0.28405790718476,414867.137095647,1680970.59445695,0.208683907231341,0.162491408626194,0.0583343937065799
"7",90,7,16418.1123550452,0.231050421359141,2495.07696910701,687,0.352681416717063,429261.468008799,1249502.66365661,0.371251144989481,0.298668165620902,0.134760872587237
"8",90,8,33161.1607406999,0.311326620728794,2405.98492102608,1017,0.277017688670743,435641.078101872,1683927.93264853,0.248600753226546,0.185156822146428,0.0696655574504246
"9",90,9,9777.74347668737,0.135982406101807,3148.82505632481,1316,0.304944571088642,414155.338451608,1554163.81730917,0.1619746300824,0.186459229358984,0.082107218802308
"10",90,10,9419.48318949192,0.127490173516476,2903.17913942162,3273,0.344079414227933,415327.513080726,1284014.9873293,0.210660034587393,0.172327765144024,0.0660581476155984
"11",90,11,8531.06417123045,0.109480722737293,3442.92936506485,5207,0.340688903897617,422686.02970628,1367386.89116901,0.220946168453889,0.159730447275587,0.0700660189214132
"12",90,12,8163.57273027914,0.105840542437858,3466.60564372655,6710,0.363170144179986,375784.407563461,1161323.69429654,0.182750513786953,0.147727501929132,0.0509548045288288
"13",90,13,8308.99756561054,0.141893590688483,2960.556884941,2206,0.407449592926424,416184.712924489,914024.303544921,0.292043541472637,0.25361641693206,0.156866322749433
"14",91,1,109880.293590017,0.440783848251442,2326.48765155119,1080,0.176843771146057,712962.435903077,4192490.46920373,0.234962592922627,0.194914649512863,0.0817807789881384
"15",91,2,46513.6914218407,0.333496338962256,2511.32545856026,1554,0.226512851419101,663181.674699106,3133069.72980338,0.26251592812637,0.178556760247536,0.0606282405998765
"16",91,3,30844.6296669873,0.266042821512245,2474.61990474244,4359,0.253877008568693,636781.426104774,2789300.18172548,0.332798386079257,0.191156131643659,0.085450237637498
"17",91,4,29548.7531646047,0.259599131509167,2796.45563092613,4706,0.275894855190004,619139.577837982,2469508.18685468,0.255233178293171,0.184100663945474,0.0743161897589458
"18",91,5,22623.971502331,0.193369216225163,2911.2167937069,2058,0.281907103263211,599722.305688252,2435858.23401022,0.280884853221673,0.179435885578588,0.065964558294648
"19",91,6,23485.0975798271,0.210545689783802,3212.61315722274,4068,0.310413799804057,567423.627612095,2063415.38223409,0.180619387636181,0.156534931520982,0.0563269566461091
"20",91,7,20390.5603985167,0.200307433427224,2638.37121998441,675,0.381042442563676,679907.610361748,1859677.52310145,0.383870929345159,0.252205654575655,0.104407400016496
"21",91,8,40701.1114656769,0.300617176605067,2096.59668096696,1043,0.263190150969282,625020.377931733,2263120.29345509,0.275313121638001,0.2077021627213,0.0702712824915316
"22",91,9,11774.6166091593,0.139879025451041,3111.84944002877,1321,0.337578645574728,573600.058830336,1998411.69574612,0.196478197895454,0.157544613339449,0.0755408232003073
"23",91,10,11552.0073291683,0.122701969596206,3062.67636068307,3246,0.359404486604552,572620.63450438,1726508.26141221,0.208338747678104,0.166241623318647,0.0606932302288851
"24",91,11,10167.423795401,0.104969273826533,3482.79960648083,5168,0.367377640172593,609126.170060024,1824724.07170084,0.187868687441627,0.163097516340257,0.0660054655476726
