"","Year","NumberEmploy","ProvinceCode"
"1",84,0.871126289916022,0
"2",84,0.893314845580499,1
"3",84,0.92567611772758,2
"4",84,0.855717786608555,3
"5",84,0.960472309746452,4
"6",84,0.973343488037938,5
"7",84,0.987511585052433,6
"8",84,1.01271846322202,7
"9",84,0.94663413700467,8
"10",84,0.916321006718871,9
"11",84,0.976370444263504,10
"12",84,0.997740583830772,11
"13",84,0.921262167770321,12
"14",84,0.911222452915913,13
"15",84,0.975022989438479,14
"16",84,0.992734231037802,15
"17",84,1.00329616614308,16
"18",84,1.04743351110118,17
"19",84,0.990419768188583,18
"20",84,0.936576544636436,19
"21",84,0.964059293327431,20
"22",84,0.880715374719788,21
"23",84,0.997326698328756,22
"24",84,0.97409463974009,23
"25",84,0.894843192420753,24
"26",84,0.977586002440926,25
"27",84,1.0254670552001,26
"28",84,0.918838477669086,27
"29",84,0.984322582501367,28
"30",84,0.879910748031504,29
"31",85,0.922165154985208,0
"32",85,0.921030944055571,1
"33",85,0.990652342790828,2
"34",85,0.912629935720792,3
"35",85,0.865030436951609,4
"36",85,0.962188818385554,5
"37",85,1.0182117666307,6
"38",85,0.96587075338241,7
"39",85,0.902062587617061,8
"40",85,0.912634009805112,9
"41",85,0.959472510468972,10
"42",85,0.991889067721137,11
"43",85,0.899441739919813,12
"44",85,0.927458934754684,13
"45",85,0.99943289731863,14
"46",85,0.958408363310411,15
"47",85,0.999465959854023,16
"48",85,1.05504157408348,17
"49",85,0.952856378466599,18
"50",85,0.934644904314841,19
"51",85,0.880357244041483,20
"52",85,0.902896271465696,21
"53",85,0.992786860689711,22
"54",85,0.97996379720295,23
"55",85,0.90011116154898,24
"56",85,0.875336106596813,25
"57",85,0.99644737789141,26
"58",85,0.980362394317667,27
"59",85,1.01788519476036,28
"60",85,0.894118387784756,29
"61",86,0.892853045594705,0
"62",86,0.961807913135262,1
"63",86,0.923635043541792,2
"64",86,0.880674112512932,3
"65",86,0.895622207738334,4
"66",86,0.933557678746138,5
"67",86,0.973937894124026,6
"68",86,0.946212980109431,7
"69",86,0.862962357510788,8
"70",86,0.923013081837554,9
"71",86,0.963859518588528,10
"72",86,0.9349735635707,11
"73",86,0.942819007203552,12
"74",86,0.867400673838552,13
"75",86,0.903012948291397,14
"76",86,0.960832254247119,15
"77",86,1.01549423881966,16
"78",86,1.04041810531002,17
"79",86,0.954539699782869,18
"80",86,0.909317354232349,19
"81",86,0.886641575885268,20
"82",86,0.913468912209681,21
"83",86,0.992838253869362,22
"84",86,0.961076619443332,23
"85",86,0.914939677479829,24
"86",86,0.844944959081901,25
"87",86,0.967880530603458,26
"88",86,0.991409506049718,27
"89",86,1.00326514587682,28
"90",86,0.94437397198144,29
"91",87,0.883899455645183,0
"92",87,0.945166452004798,1
"93",87,0.992879162276535,2
"94",87,0.890076266447337,3
"95",87,0.898437626040111,4
"96",87,0.931070635997796,5
"97",87,0.978022959213194,6
"98",87,0.920212930100883,7
"99",87,0.860102367008223,8
"100",87,0.938010950996078,9
"101",87,0.903936083037281,10
"102",87,0.94739635958909,11
"103",87,1.0029509384736,12
"104",87,0.926213076057777,13
"105",87,1.00132453579394,14
"106",87,0.918021172832004,15
"107",87,0.994020326275592,16
"108",87,1.0868801349244,17
"109",87,0.900377328912574,18
"110",87,0.920200429007923,19
"111",87,0.878329035239863,20
"112",87,0.914341852186389,21
"113",87,0.849563912401484,22
"114",87,0.966111152876375,23
"115",87,0.954980140164428,24
"116",87,0.859221143268682,25
"117",87,0.970182457590805,26
"118",87,0.989756889612321,27
"119",87,0.915551263029666,28
"120",87,0.88252036241085,29
"121",88,0.863253706150339,0
"122",88,0.85937027358561,1
"123",88,0.964282515657091,2
"124",88,0.890673804099717,3
"125",88,0.880323200662867,4
"126",88,0.93270030572321,5
"127",88,0.976697047085057,6
"128",88,0.939956351960322,7
"129",88,0.920395102914582,8
"130",88,0.896454970306401,9
"131",88,0.920969536532239,10
"132",88,0.90837676290315,11
"133",88,0.947658539179315,12
"134",88,0.957548585182766,13
"135",88,0.934818803148197,14
"136",88,0.966604800657704,15
"137",88,0.965571372035681,16
"138",88,0.984848608143137,17
"139",88,0.928472991604751,18
"140",88,0.881320992109323,19
"141",88,0.844996316222552,20
"142",88,0.853687369141508,21
"143",88,0.848975830845068,22
"144",88,0.952206755288886,23
"145",88,0.937270000986333,24
"146",88,0.852886470462041,25
"147",88,0.926030140691049,26
"148",88,0.941698679220207,27
"149",88,0.89949299402479,28
"150",88,0.805786053621267,29
"151",89,0.867373448401104,0
"152",89,0.879063131839946,1
"153",89,0.933303706503657,2
"154",89,0.87069542974077,3
"155",89,0.902088933001917,4
"156",89,0.882876869528038,5
"157",89,0.940279145873345,6
"158",89,0.943219440934725,7
"159",89,0.940739586802128,8
"160",89,0.862286856807477,9
"161",89,0.897752469853664,10
"162",89,0.930508903814731,11
"163",89,0.935340744500604,12
"164",89,0.893020192155214,13
"165",89,0.91245015996959,14
"166",89,0.87832018860765,15
"167",89,0.890155604877085,16
"168",89,1.04661585056099,17
"169",89,0.958906599726431,18
"170",89,0.888531099747246,19
"171",89,0.787005559840758,20
"172",89,0.872359332026273,21
"173",89,0.796389557285574,22
"174",89,0.885900998643729,23
"175",89,0.931001399864958,24
"176",89,0.849427538460489,25
"177",89,0.909968499912922,26
"178",89,0.940676418188389,27
"179",89,0.894473388857506,28
"180",89,0.835160029475501,29
"181",90,0.863663227776336,0
"182",90,0.866090942553309,1
"183",90,0.920987479060674,2
"184",90,0.828809404432205,3
"185",90,0.897024325135455,4
"186",90,0.866481861768811,5
"187",90,0.880355950780108,6
"188",90,0.854412017227246,7
"189",90,0.914793452455935,8
"190",90,0.850528646573418,9
"191",90,0.848145972313591,10
"192",90,0.843668103363047,11
"193",90,0.895713675917428,12
"194",90,0.839614858665918,13
"195",90,0.85420317580154,14
"196",90,0.906315289012272,15
"197",90,0.939399227903705,16
"198",90,1.00865220218869,17
"199",90,0.925956490650522,18
"200",90,0.848068063015857,19
"201",90,0.763604428783024,20
"202",90,0.826786238622322,21
"203",90,0.849378089865348,22
"204",90,0.865114123567253,23
"205",90,0.877378477346441,24
"206",90,0.827553956729891,25
"207",90,0.921313989174458,26
"208",90,0.93543354141663,27
"209",90,0.876324851471422,28
"210",90,0.820015890473364,29
"211",90,0.813652563480013,30
"212",91,0.898163698687777,0
"213",91,0.869875101167414,1
"214",91,0.892556743394687,2
"215",91,0.791070334828293,3
"216",91,0.888928510782196,4
"217",91,0.897524839186186,5
"218",91,0.893214127637078,6
"219",91,0.906763574204198,7
"220",91,0.890486662321232,8
"221",91,0.844633141202036,9
"222",91,0.82911802040779,10
"223",91,0.834961259095996,11
"224",91,0.909457321682843,12
"225",91,0.829572192657172,13
"226",91,0.879049779318092,14
"227",91,0.850101688399476,15
"228",91,0.849357479947623,16
"229",91,0.936105378894267,17
"230",91,0.837008600113486,18
"231",91,0.806704331628261,19
"232",91,0.703490228203863,20
"233",91,0.84475050010788,21
"234",91,0.837801665859618,22
"235",91,0.877611357493263,23
"236",91,0.93776792883426,24
"237",91,0.895459618161203,25
"238",91,0.926873546202807,26
"239",91,0.899836556226682,27
"240",91,0.906091617402956,28
"241",91,0.795779753407137,29
"242",91,0.926584751184837,30
"243",92,0.798113030878744,0
"244",92,0.877592644538796,1
"245",92,0.949882843381637,2
"246",92,0.802857541916968,3
"247",92,0.949331166743026,4
"248",92,0.882814164461262,5
"249",92,0.941350474170852,6
"250",92,0.877678405930683,7
"251",92,0.87668455796597,8
"252",92,0.895040551241807,9
"253",92,0.887097147195137,10
"254",92,0.821993161738939,11
"255",92,0.920675180421237,12
"256",92,0.847456404840736,13
"257",92,0.916512926893429,14
"258",92,0.789424081141038,15
"259",92,0.858235410514406,16
"260",92,0.945109003090759,17
"261",92,0.91583466200086,18
"262",92,0.855797343240762,19
"263",92,0.852451778678731,20
"264",92,0.866939549099272,21
"265",92,0.810460191222366,22
"266",92,0.875093908106803,23
"267",92,0.885476540313087,24
"268",92,0.845951342213705,25
"269",92,0.879383956164995,26
"270",92,0.934851226903962,27
"271",92,0.921209386392637,28
"272",92,0.808939780567309,29
"273",92,0.891061153166895,30
"274",93,0.820156444975236,0
"275",93,0.9098287868028,1
"276",93,0.936188961793096,2
"277",93,0.874937461344523,3
"278",93,0.924019988299645,4
"279",93,0.82718542072494,5
"280",93,0.926949412928003,6
"281",93,0.857053601516491,7
"282",93,0.82032195572472,8
"283",93,0.864123715785807,9
"284",93,0.841117398318128,10
"285",93,0.790618681280571,11
"286",93,0.938568850099591,12
"287",93,0.860954394940419,13
"288",93,0.911710794189453,14
"289",93,0.827631178948838,15
"290",93,0.823244026409552,16
"291",93,0.931289556001375,17
"292",93,0.920227813869435,18
"293",93,0.869291457612492,19
"294",93,0.828864404974601,20
"295",93,0.853037803931284,21
"296",93,0.881356848092052,22
"297",93,0.857863014427781,23
"298",93,0.900270352298901,24
"299",93,0.889220915471301,25
"300",93,0.862088548928855,26
"301",93,0.85470096354475,27
"302",93,0.930353568027861,28
"303",93,0.797792377019249,29
"304",93,0.880230747617781,30
"305",94,0.825470383786116,0
"306",94,0.959870515580115,1
"307",94,0.936444034158155,2
"308",94,0.915419147968565,3
"309",94,0.892335964456717,4
"310",94,0.859920048189044,5
"311",94,0.964719736273282,6
"312",94,0.853025072569708,7
"313",94,0.824926791110516,8
"314",94,0.849648828130288,9
"315",94,0.788108740203689,10
"316",94,0.802188189225642,11
"317",94,0.900787706452826,12
"318",94,0.864860526329539,13
"319",94,0.92185158888141,14
"320",94,0.947023429039458,15
"321",94,0.84832375558912,16
"322",94,0.931323004093014,17
"323",94,0.855701413137612,18
"324",94,0.829153034673398,19
"325",94,0.839214865955855,20
"326",94,0.793409346863105,21
"327",94,0.923199361872997,22
"328",94,0.861095513138884,23
"329",94,0.881235553551845,24
"330",94,0.89611364458403,25
"331",94,0.8565421968475,26
"332",94,0.891990405790325,27
